feature	h1_index	h2_index	"|W1[i,j]|"	"|W2[j,k]|"	"|W3[k,0]|"	path_contrib_abs
¼É­·¥b®|_YJ	16	14	0.184673291	0.30885904	0.572824514	0.032672773
¼É­·¥b®|_YJ	2	18	0.385470074	0.258721571	0.326526642	0.032564314
¼É­·¥b®|_YJ	13	8	0.426023379	0.314138773	0.242995258	0.032520168
¼É­·¥b®|_YJ	20	1	0.407899273	0.200525631	0.396380165	0.032421622
¼É­·¥b®|_YJ	2	19	0.385470074	0.187873052	0.446431716	0.032330335
¼É­·¥b®|_YJ	7	4	0.36128892	0.170069999	0.522711161	0.032117677
¼É­·¥b®|_YJ	4	10	0.340686003	0.32720564	0.287009407	0.031994196
¼É­·¥b®|_YJ	13	11	0.426023379	0.128242499	0.584426061	0.03192971
¼É­·¥b®|_YJ	7	5	0.36128892	0.233430389	0.375866085	0.031698972
¼É­·¥b®|_YJ	7	13	0.36128892	0.356688424	0.241860853	0.031168022
¼É­·¥b®|_YJ	9	14	0.407255189	0.133077798	0.572824514	0.031045155
¼É­·¥b®|_YJ	14	14	0.146326316	0.368768468	0.572824514	0.030909915
¼É­·¥b®|_YJ	12	4	0.336503548	0.175545099	0.522711161	0.030877358
¼É­·¥b®|_YJ	7	16	0.36128892	0.155996931	0.544838227	0.030707062
¼É­·¥b®|_YJ	2	11	0.385470074	0.1344029	0.584426061	0.030278118
¼É­·¥b®|_YJ	2	2	0.385470074	0.396651432	0.196884487	0.030103098
¼É­·¥b®|_YJ	6	4	0.146019007	0.394113582	0.522711161	0.030081021
¼É­·¥b®|_YJ	5	14	0.195393854	0.267219874	0.572824514	0.029908956
¼É­·¥b®|_YJ	11	16	0.152782538	0.35559248	0.544838227	0.029600146
¼É­·¥b®|_YJ	1	12	0.340392218	0.271853288	0.319460021	0.02956179
¼É­·¥b®|_YJ	11	4	0.152782538	0.366291125	0.522711161	0.029252426
¼É­·¥b®|_YJ	18	12	0.258031195	0.352405274	0.319460021	0.029048996
¼É­·¥b®|_YJ	20	14	0.407899273	0.123851052	0.572824514	0.028938381
¼É­·¥b®|_YJ	8	18	0.369832503	0.237425212	0.326526642	0.028671508
¼É­·¥b®|_YJ	18	5	0.258031195	0.295551141	0.375866085	0.028664079
¼É­·¥b®|_YJ	4	13	0.340686003	0.347225108	0.241860853	0.028610865
¼É­·¥b®|_YJ	7	15	0.36128892	0.197952288	0.397304743	0.028414428
¼É­·¥b®|_YJ	19	1	0.179063809	0.392229399	0.396380165	0.0278394
¼É­·¥b®|_YJ	19	17	0.179063809	0.344691381	0.438510316	0.027065625
¼É­·¥b®|_YJ	15	8	0.479706507	0.228517245	0.242995258	0.026637434
¼É­·¥b®|_YJ	15	3	0.479706507	0.160700109	0.344841609	0.026583456
¼É­·¥b®|_YJ	11	14	0.152782538	0.297225971	0.572824514	0.026012499
¼É­·¥b®|_YJ	5	11	0.195393854	0.226501845	0.584426061	0.025864984
¼É­·¥b®|_YJ	1	13	0.340392218	0.30655454	0.241860853	0.025237885
¼É­·¥b®|_YJ	7	18	0.36128892	0.211503667	0.326526642	0.024951184
¼É­·¥b®|_YJ	18	13	0.258031195	0.396592824	0.241860853	0.024750424
¼É­·¥b®|_YJ	18	10	0.258031195	0.330925449	0.287009407	0.024507472
¼É­·¥b®|_YJ	3	11	0.128312472	0.326349668	0.584426061	0.024472685
¼É­·¥b®|_YJ	20	12	0.407899273	0.187352156	0.319460021	0.024413393
¼É­·¥b®|_YJ	4	18	0.340686003	0.216685747	0.326526642	0.024104785
¼É­·¥b®|_YJ	4	16	0.340686003	0.128331736	0.544838227	0.023820777
¼É­·¥b®|_YJ	2	3	0.385470074	0.175110481	0.344841609	0.023276757
¼É­·¥b®|_YJ	19	15	0.179063809	0.317656507	0.397304743	0.022599005
¼É­·¥b®|_YJ	4	11	0.340686003	0.110773335	0.584426061	0.022055611
¼É­·¥b®|_YJ	19	18	0.179063809	0.376655094	0.326526642	0.022022686
¼É­·¥b®|_YJ	1	15	0.340392218	0.161923204	0.397304743	0.021898404
¼É­·¥b®|_YJ	1	14	0.340392218	0.11218891	0.572824514	0.021875155
¼É­·¥b®|_YJ	14	17	0.146326316	0.340773248	0.438510316	0.02186592
¼É­·¥b®|_YJ	11	1	0.152782538	0.357356613	0.396380165	0.021641505
¼É­·¥b®|_YJ	8	13	0.369832503	0.240784055	0.241860853	0.021537653
¼É­·¥b®|_YJ	5	19	0.195393854	0.245398279	0.446431716	0.021406095
¼É­·¥b®|_YJ	9	10	0.407255189	0.18100293	0.287009407	0.021156721
¼É­·¥b®|_YJ	14	19	0.146326316	0.322866438	0.446431716	0.021091156
¼É­·¥b®|_YJ	12	10	0.336503548	0.216794748	0.287009407	0.020937968
¼É­·¥b®|_YJ	19	12	0.179063809	0.362219011	0.319460021	0.020720278
¼É­·¥b®|_YJ	3	3	0.128312472	0.463036438	0.344841609	0.020488195
¼É­·¥b®|_YJ	16	10	0.184673291	0.378907543	0.287009407	0.020083226
¼É­·¥b®|_YJ	1	5	0.340392218	0.15644809	0.375866085	0.020016264
¼É­·¥b®|_YJ	4	2	0.340686003	0.298333579	0.196884487	0.02001096
¼É­·¥b®|_YJ	5	12	0.195393854	0.320195739	0.319460021	0.019986786
¼É­·¥b®|_YJ	1	2	0.340392218	0.297807777	0.196884487	0.019958466
¼É­·¥b®|_YJ	14	1	0.146326316	0.337795155	0.396380165	0.019592406
¼É­·¥b®|_YJ	4	12	0.340686003	0.178412452	0.319460021	0.019417619
¼É­·¥b®|_YJ	8	4	0.369832503	0.098988728	0.522711161	0.019136063
¼É­·¥b®|_YJ	20	10	0.407899273	0.162080849	0.287009407	0.018974955
¼É­·¥b®|_YJ	1	10	0.340392218	0.193612164	0.287009407	0.018915089
¼É­·¥b®|_YJ	2	15	0.385470074	0.120507985	0.397304743	0.018455688
¼É­·¥b®|_YJ	1	16	0.340392218	0.097944813	0.544838227	0.018164717
¼É­·¥b®|_YJ	5	13	0.195393854	0.381178435	0.241860853	0.018013778
¼É­·¥b®|_YJ	14	11	0.146326316	0.209069769	0.584426061	0.017879001
¼É­·¥b®|_YJ	15	15	0.479706507	0.093453922	0.397304743	0.017811352
¼É­·¥b®|_YJ	18	15	0.258031195	0.172605396	0.397304743	0.01769499
¼É­·¥b®|_YJ	9	3	0.407255189	0.125890376	0.344841609	0.01767986
¼É­·¥b®|_YJ	3	15	0.128312472	0.344324733	0.397304743	0.017553383
¼É­·¥b®|_YJ	1	1	0.340392218	0.129935617	0.396380165	0.017531527
¼É­·¥b®|_YJ	4	19	0.340686003	0.114698711	0.446431716	0.017444875
¼É­·¥b®|_YJ	12	11	0.336503548	0.088623168	0.584426061	0.01742876
¼É­·¥b®|_YJ	19	3	0.179063809	0.280215183	0.344841609	0.01730291
¼É­·¥b®|_YJ	15	4	0.479706507	0.068052643	0.522711161	0.01706406
¼É­·¥b®|_YJ	13	12	0.426023379	0.124676824	0.319460021	0.016968196
¼É­·¥b®|_YJ	4	14	0.340686003	0.086193342	0.572824514	0.016820915
¼É­·¥b®|_YJ	8	2	0.369832503	0.229807193	0.196884487	0.016733246
¼É­·¥b®|_YJ	5	17	0.195393854	0.192184207	0.438510316	0.01646677
¼É­·¥b®|_YJ	14	15	0.146326316	0.281222816	0.397304743	0.016349209
¼É­·¥b®|_YJ	3	18	0.128312472	0.383599775	0.326526642	0.016071849
¼É­·¥b®|_YJ	6	14	0.146019007	0.191311724	0.572824514	0.016001938
¼É­·¥b®|_YJ	8	12	0.369832503	0.134747953	0.319460021	0.015920026
¼É­·¥b®|_YJ	11	17	0.152782538	0.237170948	0.438510316	0.015889675
¼É­·¥b®|_YJ	4	4	0.340686003	0.088531097	0.522711161	0.015765651
¼É­·¥b®|_YJ	5	5	0.195393854	0.212831306	0.375866085	0.01563074
¼É­·¥b®|_YJ	11	19	0.152782538	0.228925586	0.446431716	0.015614321
¼É­·¥b®|_YJ	8	3	0.369832503	0.121041792	0.344841609	0.0154369
¼É­·¥b®|_YJ	19	19	0.179063809	0.19137372	0.446431716	0.01529837
¼É­·¥b®|_YJ	6	1	0.146019007	0.260935291	0.396380165	0.015102684
¼É­·¥b®|_YJ	20	2	0.407899273	0.183956328	0.196884487	0.014773356
¼É­·¥b®|_YJ	20	11	0.407899273	0.061423838	0.584426061	0.014642642
¼É­·¥b®|_YJ	8	19	0.369832503	0.087764062	0.446431716	0.014490282
¼É­·¥b®|_YJ	3	19	0.128312472	0.251039074	0.446431716	0.01438021
¼É­·¥b®|_YJ	19	10	0.179063809	0.275074181	0.287009407	0.014136887
¼É­·¥b®|_YJ	18	18	0.258031195	0.166331145	0.326526642	0.014014074
